Key,Type,Desc,English (United States) [en],French,Italian,German,Spanish (Spain) [es]
Generic/Pause,Text,,Pause,Pause,Pausa,Pause,Pausa
Generic/Play,Text,,Play,Jouer,Giocare A,Spielen,<size=91>Desempeñar</size>
Generic/PlayAgain,Text,,Play Again,Rejouer,<size=72>Gioca Di Nuovo</size>,<size=66>Nochmal Spielen</size>,<size=72>Juega De Nuevo</size>
Generic/Restart,Text,,Restart,Redémarrer,Ricomincia,Neustart,Reiniciar
Generic/Resume,Text,,Resume,Continuer,Continua,<size=92>Fortfahlen</size>,Seguir
Generic/Tutorial,Text,,Tutorial,Tutoriel,Tutorial,Tutorial,Tutorial
Generic/YourHighScore,Text,,Your high score,Votre meilleur score,Il tuo punteggio più alto,Ihr Highscore,tu puntuación más alta
Language/English,Text,,English,Anglais,Inglese,Englisch,Inglés
Language/French,Text,,French,Français,Francese,Französisch,Francés
Language/German,Text,,German,Allemand,Tedesco,Deutsch,Alemán
Language/Italian,Text,,Italian,Italien,Italiano,Italienisch,Italiano
Language/Spanish,Text,,Spanish,Espagnol,Spagnolo,Spanisch,Español
Leaderboard/Leaderboard,Text,,Leaderboard,Classement,Classifica,Rangliste,Clasificación
Leaderboard/RankUpAnimText,Text,,+{[RANK]},+{[RANK]},+{[RANK]},+{[RANK]},+{[RANK]}
Result/GameOver,Text,,Game Over,Partie Terminée,Gioco Finito,Spiel Vorbei,Juego Terminado
Result/NewHighScore!,Text,,New High Score!,Nouveau Record!,Nuovo Record!,Neuer Highscore,¡Nuevo Record!
Result/YouEarned,Text,,You Earned,Vous avez accumulez,Hai Guadagnato,Sie verdienen,Usted Ganó
Result/YourScore,Text,,Your Score,Votre Score,Il Tuo Punteggio,Ihre Punktzahl,Tu Puntuación
Settings/Audio,Text,,Audio,Audio,Audio,Audio,Audio
Settings/Facebook,Text,,Facebook,Facebook,Facebook,Facebook,Facebook
Settings/Language,Text,,Language,Langue,Linguaggio,Sprache,Idioma
Settings/Music,Text,,Music,Musique,Musica,Musik,Música
Settings/Settings,Text,,Settings,Paramètres,Impostazioni,Einstellungen,Ajustes
Settings/Sounds,Text,,Sounds,Sons,Suoni,Sound,Sonidos
Settings/Support,Text,,Support,Support,Sostegno,Support,Apoyo
Settings/Support & Social Media,Text,,Support & Social Media,Assistance Et Médias Sociaux,Supporto E Social Media,Support & Soziale Medien,Apoyo Y Redes Sociales
Settings/Terms and Privacy Policy,Text,,Terms and Privacy Policy,Termes et Politique de Confidentialité,Termini e Informativa sulla privacy,Bedingungen und Datenschutzbestimmungen,Términos y Política de Privacidad
Settings/Twitter,Text,,Twitter,Twitter,Twitter,Twitter,Gorjeo
Shop/Characters,Text,,Characters,Personnages,Personaggi,Charaktere,Caracteres
Shop/ITEM IN-USE,Text,,Item In-Use,En cours d'utilisation,Oggetto In Uso,Gegenstan in Gebrauch,Artículo En Uso
Shop/Owned,Text,,Owned,<size=56>En possession</size>,Posseduto,Im Besitz,Propiedad
Shop/Shop,Text,,Shop,Magasin,Negozio,Shop,Tienda
Shop/Themes,Text,,Themes,Thèmes,Temi,Themen,Temas
Shop/UNLOCK ITEM?,Text,,UNLOCK ITEM?,Déverrouiller?,Sbloccare L'oggetto?,Item freischalten?,Desbloquear Elemento?
Shop/USE ITEM NOW?,Text,,USE ITEM NOW?,Utiliser maintenant?,Utilizzare L'oggetto Ora?,Item jetzt verwenden?,Usar Artículo Ahora?
Shop/Unlock,Text,,Unlock,<size=45>Déverrouiller</size>,<size=62>Sbloccare</size>,<size=50>Freischalten</size>,<size=50>Desbloquear</size>
Shop/UseNow,Text,,Use Now,Utiliser,<size=59>Usalo Ora</size>,<size=59>Verwenden</size>,<size=59>Usar Ahora</size>
